Pop 0,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9
-0.017311636,-0.017252019,-0.052827996,-0.50562331,-0.591129996,-0.18603778,-0.097559242,-0.285948213,0.016203739,0.069278826
-0.082326728,-0.017252019,-0.052827996,-0.50562331,-0.591129996,-0.875478388,-0.097559242,-0.285948213,0.016203739,-0.129056852
-0.082326728,-0.071531738,-0.052827996,-0.569015838,-0.591129996,-0.875478388,-0.260430895,-0.285948213,0.016203739,-0.129056852
-0.082326728,-0.071531738,-0.229515211,-0.64604651,-0.591129996,-0.875478388,-0.260430895,-0.37185338,-0.83933827,-0.129056852
-0.211387033,-0.071531738,-0.742610799,-0.64604651,-0.591129996,-0.875478388,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.071531738,-0.742610799,-2.254293177,-0.591129996,-1.013374404,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.32985394,-0.742610799,-2.254293177,-0.591129996,-1.013374404,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.32985394,-0.742610799,-2.254293177,-0.591129996,-1.013374404,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.32985394,-0.917543133,-2.254293177,-0.591129996,-1.013374404,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.32985394,-0.917543133,-2.254293177,-0.591129996,-1.013374404,-0.260430895,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-0.32985394,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-0.575737136
-0.732154002,-1.016645899,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-2.014528909
-0.732154002,-1.016645899,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-2.603604684
-0.732154002,-1.016645899,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-2.603604684
-0.732154002,-1.016645899,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-2.849445426
-0.732154002,-1.016645899,-0.917543133,-2.862943845,-0.591129996,-1.013374404,-0.449339517,-0.37185338,-0.83933827,-2.849445426
