Pop 0,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9
0.205378816,-0.25284627,-1.142097715,-0.27038588,-0.134940551,0.00567697,-0.064472304,0.65182307,0.428017715,0.012206524
-0.2288573,-0.31339011,-1.142097715,-0.881710319,-0.485795308,0.00567697,-0.064472304,0.159673648,-0.719475552,0.007222394
-0.2288573,-0.31339011,-1.142097715,-0.881710319,-0.485795308,0.00567697,-0.110767985,-0.291686311,-0.719475552,-0.383903301
-0.2288573,-0.31339011,-1.142097715,-0.881710319,-0.485795308,0.00567697,-0.110767985,-0.291686311,-0.719475552,-0.383903301
-0.562139183,-0.31339011,-1.142097715,-0.881710319,-0.485795308,0.00567697,-0.259803249,-0.291686311,-0.719475552,-0.383903301
-0.562139183,-0.31339011,-1.142097715,-0.881710319,-0.485795308,-0.958496597,-0.259803249,-0.327022785,-0.719475552,-0.383903301
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-0.327022785,-0.719475552,-0.383903301
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-0.327022785,-0.719475552,-0.383903301
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-0.719475552,-0.42175748
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-0.719475552,-0.42175748
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-0.562139183,-0.765403338,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-1.324270569,-1.522148882,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-1.324270569,-1.522148882,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-1.324270569,-1.522148882,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-1.324270569,-1.522148882,-1.142097715,-0.881710319,-1.070957834,-0.958496597,-1.506697892,-1.005135564,-1.484968592,-0.42175748
-1.324270569,-1.522148882,-1.142097715,-0.881710319,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.484968592,-0.7289802
-1.324270569,-1.522148882,-2.081157518,-0.881710319,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.484968592,-0.7289802
-1.324270569,-1.522148882,-2.081157518,-0.881710319,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-0.7289802
-1.324270569,-1.522148882,-2.081157518,-0.881710319,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-0.7289802
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-0.7289802
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.301539877
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.301539877
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.301539877
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.301539877
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.401309915
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.401309915
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.401309915
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.466036315
-1.324270569,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.425805919,-1.070957834,-1.749238552,-1.506697892,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.447585035,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.447585035,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.447585035,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.447585035,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-1.658107488,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.527880453,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-1.522148882,-2.081157518,-1.591725352,-1.070957834,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.591725352,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.591725352,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
-1.406432651,-3.583845655,-2.081157518,-1.927908942,-1.739318271,-1.749238552,-1.69868429,-1.005135564,-2.025443816,-1.466036315
