Pop 0,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9
0.005409268,0.014459883,0.01789566,-0.236478107,0.005367578,-0.004414336,-0.015063232,0.005398869,0.011871719,-0.001809012
-0.005584435,0.007758865,-0.002003761,-0.236478107,0.005367578,-0.023020923,-0.015063232,0.005398869,0.011871719,-0.018381972
-0.005584435,0.007758865,-0.002003761,-0.236478107,-0.004413552,-0.023020923,-0.015063232,-0.010599529,-0.00039582,-0.018381972
-0.005584435,-0.082017461,-0.002003761,-0.446681946,-0.004413552,-0.023020923,-0.015063232,-0.010599529,-0.002116649,-0.022161851
-0.005584435,-0.082017461,-0.005974327,-0.446681946,-0.004413552,-0.023020923,-0.015063232,-0.010599529,-0.002116649,-0.022161851
-0.010893292,-0.082017461,-0.005974327,-0.446681946,-0.085923184,-0.023020923,-0.015063232,-0.010599529,-0.002116649,-0.022161851
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.015063232,-0.010599529,-0.002116649,-0.022161851
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.015063232,-0.010599529,-0.036894161,-0.022161851
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.010599529,-0.036894161,-0.022161851
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.1923357
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.1923357
-0.010893292,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.1923357
-0.016787244,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.1923357
-0.016787244,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.1923357
-0.016787244,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.451397858
-0.016787244,-0.937203579,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.019862562,-0.13008695,-0.036894161,-0.451397858
-0.016787244,-1.729649847,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.115929381,-0.13008695,-0.036894161,-0.451397858
-0.016787244,-2.064668927,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.115929381,-0.13008695,-0.036894161,-0.451397858
-0.016787244,-2.064668927,-0.015508366,-0.446681946,-1.001278383,-0.023020923,-0.115929381,-0.13008695,-0.424695966,-0.451397858
