Pop 0,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9
0.200849059,-0.053231869,-0.042665628,-0.107048582,-0.070953345,1.194402514,0.046667271,-0.451252935,-0.637727949,-0.033378518
0.200849059,-0.308543777,-0.042665628,-0.107048582,-0.928415612,0.424145556,0.046667271,-1.247430353,-0.637727949,-0.033378518
0.200849059,-0.308543777,-0.042665628,-0.107048582,-0.928415612,-0.850678015,0.032142082,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-0.308543777,-0.861375908,-0.107048582,-0.928415612,-0.850678015,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-0.308543777,-0.861375908,-0.107048582,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-0.308543777,-0.861375908,-0.107048582,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-1.078559204,-0.861375908,-0.190083698,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-1.078559204,-0.861375908,-0.190083698,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.637727949,-0.529182529
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.529182529
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-0.928415612,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.529182529
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.529624023
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.529624023
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.529624023
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.69305333,-0.992822992
-1.171115366,-1.716945393,-0.861375908,-0.190083698,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.226367515,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.226367515,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.362327562,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.362327562,-1.273498574,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.302209779,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.302209779,-1.144693454,-1.305532818,-1.247430353,-0.963860948,-1.252062432
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.302209779,-1.144693454,-1.308990781,-1.247430353,-0.963860948,-1.373223536
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.302209779,-1.144693454,-1.308990781,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.613666693,-1.144693454,-1.308990781,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.613666693,-1.144693454,-1.308990781,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.613666693,-1.144693454,-1.308990781,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-0.861375908,-0.800907768,-1.613666693,-1.144693454,-1.308990781,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-1.084972035,-0.800907768,-1.613666693,-1.144693454,-1.861512913,-1.247430353,-1.18077259,-1.373223536
-1.171115366,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-1.861512913,-1.247430353,-2.575766981,-1.373223536
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-1.861512913,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-1.861512913,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-0.800907768,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.07371424,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.07371424,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.07371424,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-1.82020795,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-2.405624944,-1.613666693,-1.144693454,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.362774416,-2.405624944,-1.613666693,-1.31094428,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.478133553,-2.405624944,-1.613666693,-1.31094428,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.327156951,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-1.31094428,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.609205497,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-1.31094428,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.609205497,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-1.31094428,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.609205497,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-2.411955056,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.609205497,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-2.411955056,-2.002828949,-1.247430353,-2.575766981,-1.970407438
-1.609205497,-2.072106552,-1.478133553,-2.405624944,-2.549885324,-2.411955056,-2.002828949,-1.247430353,-2.575766981,-1.970407438
