Pop 0,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9
0.001017097,-0.269724689,-0.054993955,-0.036843846,0.038331544,0.007027466,0.006325798,-0.14508184,-0.294598827,-0.230466088
0.001017097,-0.269724689,-0.056397079,-0.036843846,-0.248130293,-0.058241154,-0.212477693,-0.214550182,-0.294598827,-0.234897089
-0.205261867,-0.269724689,-0.056397079,-0.036843846,-0.248130293,-0.058241154,-0.212477693,-0.214550182,-0.649913757,-0.234897089
-0.205261867,-0.269724689,-0.082261501,-0.036843846,-0.248130293,-0.301086365,-0.212477693,-0.214550182,-0.649913757,-0.234897089
-0.205261867,-0.269724689,-0.082261501,-0.036843846,-0.248130293,-0.301086365,-0.212477693,-0.214550182,-0.649913757,-0.712023583
-0.205261867,-0.269724689,-0.082261501,-0.036843846,-0.248130293,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.205261867,-0.294692442,-0.086271599,-0.330110909,-0.248130293,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.370557655,-0.294692442,-0.086271599,-0.330110909,-0.3318122,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.370557655,-0.294692442,-0.086271599,-0.330110909,-0.3318122,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.3318122,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-0.301086365,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.220550375,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.294692442,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.233118321,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
-0.784390401,-0.3695394,-0.5576208,-0.330110909,-0.715592605,-1.904405804,-0.527142246,-0.214550182,-0.649913757,-0.712023583
